agent;timestep;position;direction;status;given_command
0;1;(6, 19);w;waiting;move_forward
0;2;(6, 18);w;ready to depart;wait
0;3;(6, 18);w;ready to depart;wait
0;4;(6, 18);w;ready to depart;wait
0;5;(6, 18);w;ready to depart;wait
0;6;(6, 18);w;ready to depart;wait
0;7;(6, 18);w;ready to depart;wait
0;8;(6, 18);w;ready to depart;wait
0;9;(6, 18);w;ready to depart;wait
0;10;(6, 18);w;ready to depart;wait
0;11;(6, 18);w;ready to depart;wait
0;12;(6, 18);w;ready to depart;wait
0;13;(6, 18);w;ready to depart;move_forward
0;14;(6, 17);w;moving;wait
0;15;(6, 17);w;stopped;move_forward
0;16;(6, 16);w;moving;move_forward
0;17;(6, 15);w;moving;move_forward
0;18;(6, 14);w;moving;move_forward
0;19;(6, 13);w;moving;move_forward
0;20;(6, 12);w;moving;move_forward
0;21;(6, 11);w;moving;move_forward
0;22;(6, 10);w;moving;move_forward
0;23;(7, 10);s;moving;move_forward
0;24;(8, 10);s;moving;move_forward
0;25;(9, 10);s;moving;move_right
0;26;(9, 9);w;moving;move_forward
0;27;(9, 8);w;moving;move_left
0;28;(10, 8);s;moving;move_forward
0;29;(10, 7);w;moving;move_forward
0;30;(10, 6);w;moving;move_forward
0;31;(10, 5);w;moving;

1;1;(9, 5);e;waiting;move_forward
1;2;(9, 6);e;ready to depart;move_forward
1;3;(9, 7);e;moving;move_forward
1;4;(9, 8);e;moving;move_forward
1;5;(9, 9);e;moving;move_forward
1;6;(9, 10);e;moving;move_left
1;7;(8, 10);n;moving;move_forward
1;8;(7, 10);n;moving;move_forward
1;9;(6, 10);n;moving;move_forward
1;10;(6, 11);e;moving;move_forward
1;11;(6, 12);e;moving;move_forward
1;12;(6, 13);e;moving;move_forward
1;13;(6, 14);e;moving;move_forward
1;14;(6, 15);e;moving;move_forward
1;15;(6, 16);e;moving;move_right
1;16;(7, 16);s;moving;move_forward
1;17;(7, 17);e;moving;move_forward
1;18;(7, 18);e;moving;move_forward
1;19;(7, 19);e;moving;
