agent;timestep;position;direction;status;given_command;temp_speed;energy
0;1;(6, 19);w;waiting;move_forward;4;
0;5;(6, 18);w;ready to depart;move_forward;3;12
0;8;(6, 17);w;moving;move_forward;2;22
0;10;(6, 16);w;moving;move_forward;1;50
0;11;(6, 15);w;moving;move_forward;2;200
0;13;(6, 14);w;moving;move_right;3;50
0;16;(5, 14);n;moving;move_forward;2;24
0;18;(4, 14);n;moving;move_forward;3;50
0;21;(4, 13);w;moving;move_forward;2;24
0;23;(4, 12);w;moving;move_forward;1;50
0;24;(4, 11);w;moving;move_forward;1;200
0;25;(4, 10);w;moving;move_forward;1;200
0;26;(4, 9);w;moving;move_forward;1;200
0;27;(4, 8);w;moving;move_forward;1;200
0;28;(4, 7);w;moving;move_forward;1;200
0;29;(4, 6);w;moving;move_forward;1;200
0;30;(4, 5);w;moving;move_forward;1;200
0;31;(4, 4);w;moving;move_forward;1;200
0;32;(4, 3);w;moving;move_forward;1;200
0;33;(4, 2);w;moving;move_forward;1;200
0;34;(4, 1);w;moving;move_forward;2;200
0;36;(4, 0);w;moving;move_forward;3;50
0;39;(5, 0);s;moving;move_forward;2;24
0;41;(6, 0);s;moving;move_forward;1;50
0;42;(7, 0);s;moving;move_forward;1;200
0;43;(8, 0);s;moving;move_forward;2;200
0;45;(9, 0);s;moving;move_forward;3;50
0;48;(9, 1);e;moving;move_forward;2;24
0;50;(9, 2);e;moving;move_right;3;50
0;53;(10, 2);s;moving;move_forward;3;24
0;56;(10, 3);e;moving;move_forward;3;24
0;59;(10, 4);e;moving;move_forward;4;22
0;63;(10, 5);e;moving;;4;12

1;1;(9, 5);e;waiting;wait;4;
1;2;(9, 5);e;ready to depart;move_forward;4;-7
1;6;(9, 6);e;moving;move_forward;3;18
1;9;(9, 7);e;moving;move_forward;4;33
1;13;(9, 8);e;moving;move_forward;3;18
1;16;(9, 9);e;moving;wait;4;33
1;17;(9, 9);e;stopped;wait;4;-7
1;18;(9, 9);e;stopped;move_forward;4;
1;22;(9, 10);e;moving;move_left;4;18
1;26;(8, 10);n;moving;wait;4;19
1;27;(8, 10);n;stopped;move_forward;4;-7
1;31;(7, 10);n;moving;move_forward;3;18
1;34;(6, 10);n;moving;move_forward;4;33
1;38;(6, 11);e;moving;move_forward;3;19
1;41;(6, 12);e;moving;move_forward;2;33
1;43;(6, 13);e;moving;move_forward;2;75
1;45;(6, 14);e;moving;move_forward;2;75
1;47;(6, 15);e;moving;move_forward;3;75
1;50;(6, 16);e;moving;move_right;3;33
1;53;(7, 16);s;moving;move_forward;3;36
1;56;(7, 17);e;moving;move_forward;3;36
1;59;(7, 18);e;moving;move_forward;4;33
1;63;(7, 19);e;moving;;4;18
